,film_id,num_user,num_critic,imdb_score,num_votes,facebook_likes
165,524,173.0,72.0,7.19999981,76842,4000
166,2650,101.0,37.0,3.0,8279,837
167,1486,318.0,129.0,6.69999981,90374,0
168,922,34.0,35.0,5.0999999,12942,902
169,691,460.0,122.0,8.0,163492,15000
170,2703,483.0,157.0,6.9000001,182757,19000
171,2747,113.0,63.0,4.19999981,15015,494
172,862,405.0,132.0,6.30000019,172217,0
173,4048,99.0,147.0,6.0999999,36029,14000
174,535,97.0,57.0,7.19999981,49007,0
175,954,64.0,53.0,5.19999981,63625,0
176,4448,2725.0,712.0,8.60000038,928227,349000
177,3082,1017.0,418.0,8.0,641997,13000
178,4917,29.0,39.0,4.69999981,4146,0
179,1547,2110.0,283.0,8.10000038,580999,33000
180,4363,15.0,30.0,4.30000019,2157,421
181,625,68.0,32.0,6.5999999,17124,949
182,972,243.0,73.0,6.80000019,220392,0
183,4224,2.0,11.0,5.0999999,322,81
184,2578,415.0,279.0,7.0999999,101221,0
185,4605,53.0,70.0,5.0,9418,0
186,4502,60.0,44.0,7.5,12672,0
187,2926,,,5.19999981,118,30
188,2528,76.0,58.0,5.69999981,28848,0
189,1399,61.0,52.0,5.5999999,3740,314
190,620,654.0,181.0,7.5,143835,14000
191,2336,148.0,47.0,7.0,4360,1000
192,2100,64.0,35.0,6.69999981,3222,352
193,4293,380.0,270.0,6.5999999,133177,24000
194,804,37.0,10.0,4.5999999,2129,138
195,1623,90.0,37.0,6.30000019,14656,0
196,3583,173.0,226.0,6.4000001,138661,0
197,3425,169.0,218.0,7.19999981,58967,10000
198,4850,1211.0,464.0,5.5,69757,62000
199,3295,17.0,56.0,7.19999981,9214,0
200,3516,752.0,445.0,6.80000019,202800,60000
201,1945,271.0,129.0,6.0999999,96693,0
202,4942,14.0,,5.9000001,954,57
203,3704,54.0,152.0,5.69999981,7625,0
204,811,144.0,52.0,6.80000019,22345,0
205,2569,382.0,31.0,6.69999981,12399,0
206,899,164.0,70.0,4.4000001,26051,0
207,18,133.0,51.0,8.0,17799,0
208,2328,814.0,237.0,5.19999981,88146,0
209,561,252.0,77.0,7.0,154199,0
210,912,395.0,114.0,6.30000019,144053,0
211,3457,283.0,377.0,7.4000001,141425,25000
212,3455,1140.0,669.0,8.0,551363,106000
213,4382,3.0,8.0,4.4000001,237,190
214,4147,384.0,415.0,7.30000019,150082,36000
215,3815,83.0,76.0,3.5999999,15866,0
216,1389,112.0,63.0,5.9000001,12519,853
217,3044,281.0,324.0,7.5999999,136673,10000
218,3384,10.0,4.0,5.19999981,1097,402
219,1403,237.0,87.0,5.30000019,80639,0
220,498,143.0,51.0,7.69999981,52846,0
221,1447,192.0,128.0,6.69999981,31169,812
222,1126,515.0,160.0,6.4000001,56741,1000
223,3146,492.0,270.0,5.9000001,78256,0
224,51,28.0,27.0,7.19999981,1756,169
225,6,71.0,36.0,6.30000019,4546,167
226,3187,19.0,37.0,7.19999981,1696,1000
227,3830,211.0,195.0,4.9000001,49312,0
228,1472,79.0,58.0,5.0999999,10777,671
229,3256,245.0,335.0,7.80000019,139114,15000
230,3616,636.0,479.0,8.0,503631,64000
231,4744,994.0,602.0,6.80000019,275868,85000
232,2582,150.0,144.0,6.30000019,12197,650
233,4388,13.0,18.0,7.0999999,2841,0
234,1713,795.0,194.0,6.19999981,162909,0
235,1917,155.0,128.0,6.4000001,25165,827
236,4263,122.0,238.0,6.5,64748,12000
237,4607,23.0,16.0,4.9000001,2706,549
238,4344,211.0,211.0,6.19999981,69355,10000
239,4064,166.0,234.0,5.0999999,20376,15000
240,2791,299.0,166.0,6.80000019,60156,0
241,1266,42.0,10.0,6.19999981,899,271
242,658,317.0,112.0,4.30000019,19331,949
243,4317,216.0,276.0,7.4000001,115813,22000
244,958,682.0,161.0,8.30000019,604904,31000
245,2594,27.0,99.0,7.4000001,6183,1000
246,1659,988.0,187.0,6.69999981,272223,14000
247,2468,409.0,168.0,6.4000001,35140,0
248,3156,245.0,195.0,6.19999981,40964,0
249,225,116.0,84.0,7.69999981,9513,0
250,1916,332.0,153.0,6.30000019,162331,0
251,3691,40.0,92.0,6.5999999,7390,0
252,3958,160.0,224.0,5.5999999,58366,10000
253,4215,420.0,319.0,7.5999999,203963,58000
254,289,284.0,201.0,7.19999981,91017,0
255,4589,252.0,349.0,7.0999999,86664,38000
256,314,48.0,34.0,6.5999999,16764,1000
257,4278,34.0,9.0,5.80000019,844,962
258,1009,742.0,173.0,7.69999981,343274,18000
259,4894,266.0,194.0,5.19999981,55617,14000
260,2757,118.0,190.0,6.69999981,24150,923
261,454,388.0,173.0,6.9000001,219171,19000
262,3886,127.0,178.0,5.19999981,44662,0
263,2730,192.0,172.0,7.69999981,99177,11000
264,2983,26.0,41.0,4.4000001,2458,211
265,592,249.0,60.0,5.69999981,43376,0
